pred_prob,pred_pos,pred_sev,true_label,true_pos,true_sev,pos_valid,material,demand,network,file_type,split
7.63554484319293e-37,1.0,4.172581195831299,0.0,0.5,0.0,0.0,DI,1.0,Network_3,base,"Network_3 (L-TOWN, 905 pipes)"
2.5507168928035627e-38,1.0,3.5671331882476807,0.0,0.5,0.0,0.0,CI,0.699999988079071,Network_3,base,"Network_3 (L-TOWN, 905 pipes)"
1.0,0.6229659914970398,0.04609186574816704,1.0,0.5,0.04571749269962311,0.0,STEEL,0.699999988079071,Network_3,leak,"Network_3 (L-TOWN, 905 pipes)"
1.5552062976480797e-38,1.0,3.2615747451782227,0.0,0.5,0.0,0.0,PVC,1.2000000476837158,Network_3,base,"Network_3 (L-TOWN, 905 pipes)"
3.6917123964729446e-39,1.0,3.870486259460449,0.0,0.5,0.0,0.0,PVC,0.699999988079071,Network_3,base,"Network_3 (L-TOWN, 905 pipes)"
1.0,0.20298419892787933,0.35262495279312134,1.0,0.5,0.24581007659435272,0.0,DI,1.2000000476837158,Network_3,leak,"Network_3 (L-TOWN, 905 pipes)"
1.0,0.5892958641052246,0.31413590908050537,1.0,0.5,0.2711585462093353,0.0,DI,0.699999988079071,Network_3,leak,"Network_3 (L-TOWN, 905 pipes)"
2.5678044159606412e-36,1.0,1.797450065612793,0.0,0.5,0.0,0.0,DI,0.699999988079071,Network_3,base,"Network_3 (L-TOWN, 905 pipes)"
1.5324654676675006e-34,0.9993366599082947,1.3520716428756714,0.0,0.5,0.0,0.0,DI,1.0,Network_3,base,"Network_3 (L-TOWN, 905 pipes)"
2.7384492720908633e-32,1.0,1.289055347442627,0.0,0.5,0.0,0.0,PVC,1.2000000476837158,Network_3,base,"Network_3 (L-TOWN, 905 pipes)"
1.6776650137442547e-37,0.9999998807907104,1.9396684169769287,0.0,0.5,0.0,0.0,DI,1.2000000476837158,Network_3,base,"Network_3 (L-TOWN, 905 pipes)"
1.0,0.9859188795089722,0.3421281576156616,1.0,0.9826360940933228,0.3728794455528259,1.0,PVC,1.0,Network_3,leak,"Network_3 (L-TOWN, 905 pipes)"
4.1388814220469e-37,1.0,13.086930274963379,0.0,0.5,0.0,0.0,PVC,1.0,Network_3,base,"Network_3 (L-TOWN, 905 pipes)"
2.59249172013361e-34,0.9998570680618286,0.9949965476989746,0.0,0.5,0.0,0.0,STEEL,1.0,Network_3,base,"Network_3 (L-TOWN, 905 pipes)"
4.355816325205148e-37,0.9999891519546509,1.9424129724502563,0.0,0.5,0.0,0.0,CI,0.699999988079071,Network_3,base,"Network_3 (L-TOWN, 905 pipes)"
1.0,0.4320344030857086,0.12213417887687683,1.0,0.4172918498516083,0.12082179635763168,1.0,STEEL,1.2000000476837158,Network_3,leak,"Network_3 (L-TOWN, 905 pipes)"
5.3533156375360066e-36,0.9999861717224121,1.2378058433532715,0.0,0.5,0.0,0.0,CI,1.2000000476837158,Network_3,base,"Network_3 (L-TOWN, 905 pipes)"
1.61004467251461e-36,1.0,2.089708089828491,0.0,0.5,0.0,0.0,CI,1.0,Network_3,base,"Network_3 (L-TOWN, 905 pipes)"
2.3362268631019917e-38,1.0,16.1727237701416,0.0,0.5,0.0,0.0,DI,1.2000000476837158,Network_3,base,"Network_3 (L-TOWN, 905 pipes)"
1.6724651516334746e-35,0.9999452829360962,1.4335792064666748,0.0,0.5,0.0,0.0,PVC,0.699999988079071,Network_3,base,"Network_3 (L-TOWN, 905 pipes)"
6.891818172126673e-32,0.9995443224906921,2.0258307456970215,0.0,0.5,0.0,0.0,DI,0.699999988079071,Network_3,base,"Network_3 (L-TOWN, 905 pipes)"
1.0,0.6702413558959961,0.33998697996139526,1.0,0.5,0.355849027633667,0.0,STEEL,0.699999988079071,Network_3,leak,"Network_3 (L-TOWN, 905 pipes)"
8.862929836668552e-37,0.9999998807907104,1.3347612619400024,0.0,0.5,0.0,0.0,DI,1.2000000476837158,Network_3,base,"Network_3 (L-TOWN, 905 pipes)"
1.171312391915993e-34,0.9999700784683228,1.2826730012893677,0.0,0.5,0.0,0.0,PVC,1.2000000476837158,Network_3,base,"Network_3 (L-TOWN, 905 pipes)"
1.0,0.2995646595954895,0.3337964415550232,1.0,0.5,0.43065688014030457,0.0,PVC,1.0,Network_3,leak,"Network_3 (L-TOWN, 905 pipes)"
1.0,0.9314663410186768,0.35183513164520264,1.0,0.9212772846221924,0.32038062810897827,1.0,DI,0.699999988079071,Network_3,leak,"Network_3 (L-TOWN, 905 pipes)"
3.3544148114354896e-38,1.0,2.3810863494873047,0.0,0.5,0.0,0.0,STEEL,0.699999988079071,Network_3,base,"Network_3 (L-TOWN, 905 pipes)"
3.4806757267068557e-38,1.0,15.303977966308594,0.0,0.5,0.0,0.0,STEEL,1.2000000476837158,Network_3,base,"Network_3 (L-TOWN, 905 pipes)"
1.0,0.9572331309318542,0.34944331645965576,1.0,0.9541741013526917,0.4554857015609741,1.0,DI,0.699999988079071,Network_3,leak,"Network_3 (L-TOWN, 905 pipes)"
3.5937360230132826e-33,0.9994919300079346,0.6282477378845215,0.0,0.5,0.0,0.0,DI,1.0,Network_3,base,"Network_3 (L-TOWN, 905 pipes)"
3.465908072215126e-35,0.9999990463256836,0.9602473974227905,0.0,0.5,0.0,0.0,PVC,0.699999988079071,Network_3,base,"Network_3 (L-TOWN, 905 pipes)"
1.0,0.2432093322277069,0.19866439700126648,1.0,0.5,0.15804734826087952,0.0,STEEL,1.2000000476837158,Network_3,leak,"Network_3 (L-TOWN, 905 pipes)"
1.0,0.22987060248851776,0.3532909154891968,1.0,0.2147618532180786,0.26467961072921753,1.0,STEEL,0.699999988079071,Network_3,leak,"Network_3 (L-TOWN, 905 pipes)"
4.624044940291702e-36,1.0,3.6100966930389404,0.0,0.5,0.0,0.0,CI,1.0,Network_3,base,"Network_3 (L-TOWN, 905 pipes)"
1.0,0.5211023688316345,0.25024479627609253,1.0,0.5,0.1649080067873001,0.0,STEEL,0.699999988079071,Network_3,leak,"Network_3 (L-TOWN, 905 pipes)"
1.0,0.9217875599861145,0.35549670457839966,1.0,0.9074476957321167,0.3445284068584442,1.0,PVC,1.2000000476837158,Network_3,leak,"Network_3 (L-TOWN, 905 pipes)"
